country_name,country_code,Year,Inflation,Unemployment
France,FRA,2010,1.533150574,8.87
Germany,DEU,2010,1.10201193,6.97
Greece,GRC,2010,4.712041885,12.71
Hungary,HUN,2010,4.854776135,11.17
Ireland,IRL,2010,-0.921430695,14.53
Italy,ITA,2010,1.52284264,8.36
Latvia,LVA,2010,-1.088031652,19.48
Lithuania,LTU,2010,1.317122594,17.81
Luxembourg,LUX,2010,2.270402945,4.36
Malta,MLT,2010,1.512536798,6.85
Netherlands,NLD,2010,1.27607859,4.99
Poland,POL,2010,2.585145671,9.64
Portugal,PRT,2010,1.399310485,10.77
Romania,ROU,2010,6.089539571,6.96
Slovak Republic,SVK,2010,0.95911156,14.38
Slovenia,SVN,2010,1.801893515,7.24
Spain,ESP,2010,1.801893515,19.86
Sweden,SWE,2010,1.153145863,8.61
Austria,AUT,2011,3.29,4.56
Belgium,BEL,2011,3.53,7.14
Bulgaria,BGR,2011,4.22,11.26
Croatia,HRV,2011,2.27,13.68
Cyprus,CYP,2011,3.29,7.86
Czech Republic,CZE,2011,1.92,6.71
Denmark,DNK,2011,2.76,7.77
Estonia,EST,2011,4.98,12.33
Finland,FIN,2011,3.42,7.78
France,FRA,2011,2.11,8.81
Germany,DEU,2011,2.08,5.82
Greece,GRC,2011,3.33,17.87
Hungary,HUN,2011,3.93,11.03
Ireland,IRL,2011,2.56,15.35
Italy,ITA,2011,2.78,8.36
Latvia,LVA,2011,4.37,16.21
Lithuania,LTU,2011,4.13,15.39
Luxembourg,LUX,2011,3.41,4.9
Malta,MLT,2011,2.96,6.38
Netherlands,NLD,2011,2.34,4.98
Poland,POL,2011,4.24,9.63
Portugal,PRT,2011,3.65,12.68
Romania,ROU,2011,5.79,7.18
Slovak Republic,SVK,2011,3.92,13.62
Slovenia,SVN,2011,1.8,8.17
Spain,ESP,2011,3.2,21.39
Sweden,SWE,2011,2.96,7.8
Austria,AUT,2012,2.478458708,4.87
Belgium,BEL,2012,2.839756592,7.54
Bulgaria,BGR,2012,2.955286893,12.27
Croatia,HRV,2012,3.412535445,15.94
Cyprus,CYP,2012,2.391325395,11.8
Czech Republic,CZE,2012,3.28689168,6.98
Denmark,DNK,2012,2.393927598,7.8
Estonia,EST,2012,3.934082682,10.02
Finland,FIN,2012,2.804099787,7.69
France,FRA,2012,1.95867202,9.4
Germany,DEU,2012,2.00822884,5.38
Greece,GRC,2012,1.500048389,24.44
Hungary,HUN,2012,5.648032329,11
Ireland,IRL,2012,1.696567863,15.45
Italy,ITA,2012,3.04533956,10.66
Latvia,LVA,2012,2.261186165,15.05
Lithuania,LTU,2012,3.092288486,13.37
Luxembourg,LUX,2012,2.659317281,5.14
Malta,MLT,2012,2.37956488,6.2
Netherlands,NLD,2012,2.452608951,5.82
Poland,POL,2012,3.559094398,10.09
Portugal,PRT,2012,2.778581766,15.53
Romania,ROU,2012,3.336799319,6.79
Slovak Republic,SVK,2012,3.608545035,13.96
Slovenia,SVN,2012,2.603143418,8.84
Spain,ESP,2012,2.441860465,24.79
Sweden,SWE,2012,0.893550894,7.98
Austria,AUT,2013,2.002834199,5.34
Belgium,BEL,2013,1.117685733,8.43
Bulgaria,BGR,2013,0.885368127,12.94
Croatia,HRV,2013,2.222012103,17.25
Cyprus,CYP,2013,-0.406580938,15.87
Czech Republic,CZE,2013,1.434406764,6.95
Denmark,DNK,2013,0.788823418,7.38
Estonia,EST,2013,2.786179085,8.63
Finland,FIN,2013,1.476674191,8.19
France,FRA,2013,0.864470272,9.92
Germany,DEU,2013,1.498127341,5.23
Greece,GRC,2013,-0.924866514,27.47
Hungary,HUN,2013,1.739526412,10.18
